ticker,buyDate,quantity,buyPrice,sellDate,sellPrice,notes,tags
AAPL,2024-01-15,100,185.50,2024-01-18,192.30,"完全なトレード - 利確","tech,swing"
MSFT,2024-01-22,50,380.25,,"","継続保有中 - クラウド成長期待","tech,long-term"
GOOGL,2024-01-25,30,140.80,2024-02-28,152.40,"検索独占 + AI潜在能力","tech,growth"
TSLA,2024-02-01,25,195.40,2024-02-05,210.30,"短期リバウンドトレード成功","ev,speculative"
NVDA,2024-02-08,15,720.85,2024-02-22,785.60,"AIラリーで利確","tech,ai"
SPY,2024-02-12,200,485.20,2024-03-18,492.10,"市場押し目買い機会","etf,hedge"
AMZN,2024-02-15,40,155.75,2024-03-22,168.90,"AWS成長+小売回復","tech,value"
META,2024-02-20,35,450.30,2024-04-08,485.20,"VR/AR将来性期待","tech,speculative"
JPM,2024-03-08,60,175.25,2024-04-18,185.40,"銀行セクターローテーション","finance,value"
XOM,2024-03-12,80,115.40,2024-04-15,128.60,"原油価格安定化","energy,commodity"
COIN,2024-03-15,45,220.80,2024-03-25,195.20,"暗号通貨回復投機","crypto,speculative"
VTI,2024-03-28,300,245.60,,"","長期ポートフォリオ分散","etf,long-term"
QQQ,2024-04-12,150,445.30,2024-05-15,458.90,"テックセクター統合","etf,tech"
TSLA,2024-04-22,20,168.50,2024-05-02,195.80,"デリバリー懸念で割安","ev,value"
NFLX,2024-04-25,25,580.40,2024-05-05,625.80,"加入者成長加速","streaming,growth"